IconLabel,SemanticType,Category
bib,object,entity
bicycle,entity,entity
big_mac_switch,action,action
big_wheel,object,entity
bikini,,other
bin_bag,object,entity
bin_bags,object,entity
bingo,object,entity
bingo_marker,action,action
bird,entity,entity
bird_bath,object,entity
bird_cage,object,entity
bird_feeder,object,entity
bird_seed,entity,entity
birthday_cake,food,entity
birthday_card,object,entity
biscuit_chocolate_chip,food,entity
biscuits,food,entity
"bite_,_to",,other
black,quality,attribute
blackberry,entity,entity
blackboard,object,entity
blackcurrant_juice,drink,entity
blackcurrants,food,entity
bladder,,other
bladder_kidneys,entity,entity
blanket,object,entity
blanket_chest,object,entity
blender_drinks,object,entity
"bless_,_to",,other
blind,emotion,function
blind_2,entity,entity
blinds,entity,entity
"blink_,_to",,other
blood_pressure,quality,attribute
blouse,entity,entity
"blow_,_to",,other
"blow_kiss_,_to",action,action
blue,quality,attribute
blue_dark,quality,attribute
blue_light,object,entity
blusher,object,entity
boat,object,entity
bobble_hat,entity,entity
boccia,object,entity
boccia_chute,object,entity
body_outline,,other
bolt,object,entity
bone,body,entity
bone_2,body,entity
bonfire,place,entity
book_end,object,entity
book_ends,object,entity
book_shelf,object,entity
bookcase,object,entity
bootees,object,entity
boots,,other
both,quantity,attribute
bottom,body,entity
bottom_2,,other
bottom_3,body,entity
"bounce_,_to",,other
"bounce_ball_,_to",,other
bow,object,entity
bow_and_arrow,entity,entity
bow_tie,object,entity
bowl,object,entity
bowler_1,person,entity
bowling,action,action
bowling_ball,entity,entity
bowling_gutter,object,entity
bowling_pins,object,entity
bowling_spare,object,entity
bowling_strike,action,action
"box_,_to",action,action
boxer_shorts,object,entity
bra,object,entity
bracelet_1,entity,entity
bracelet_2,object,entity
brain,body,entity
branch,entity,entity
brazil_nut,food,entity
bread,food,entity
bread_crumbs,object,entity
bread_roll,food,entity
bread_roll_2,food,entity
bread_roll_3,food,entity
bread_roll_filled,food,entity
bread_roll_granary,object,entity
bread_slice,food,entity
bread_sliced,object,entity
breafkfast_continental_1,food,entity
breafkfast_continental_2,entity,entity
breafkfast_fried,,other
"break_,_to",,other
break_2,action,action
"break_egg_,_to",,other
break_time_1,time,function
break_time_2,time,function
breakfast_1,object,entity
breakfast_2,food,entity
breakfast_3,time,function
breakfast_4,food,entity
breakfast_5,object,entity
breakfast_6,time,function
breakfast_time,time,function
breakfast_time_1,time,function
bricks,entity,entity
bridle,object,entity
briefcase_1,object,entity
briefcase_2,object,entity
bright,quality,attribute
bright_room,place,entity
"bring_,_to",,other
broad_beans,object,entity
broccoli,food,entity
broken,quality,attribute
broken_bone,object,entity
brooch,entity,entity
broom,object,entity
broomstick,object,entity
brother,person,entity
brown,quality,attribute
"brush_animal_,_to",action,action
"brush_hair_,_to",action,action
"brush_teeth_,_to",,other
brussel_sprouts,food,entity
bubble_bath,food,entity
bubble_gum_-_blow,,other
bubble_mixture,object,entity
bubble_wand,tool,entity
bubble_wrap,entity,entity
bubbles,quality,attribute
bubbles_blow,action,action
bucket,object,entity
buckle,entity,entity
bud,food,entity
budgie,entity,entity
buffalo,entity,entity
"build_,_to",,other
bulb_holder,object,entity
bulb_holder_2,object,entity
bumpy,quality,attribute
bun_-_hot_cross,food,entity
bun_currant,object,entity
bunk_beds,object,entity
burn,action,action
"burn_2_,_to",action,action
bus,object,entity
bus_double_decker,object,entity
bus_single_decker,entity,entity
bush,entity,entity
busy,action,action
butter,,other
butterfly,entity,entity
butternut_squash,entity,entity
button,object,entity
c_-_lower_case,entity,entity
cabbage,food,entity
cable_tv,object,entity
cactus,entity,entity
cafe,entity,entity
cafe_2,entity,entity
cage,object,entity
cake,food,entity
cake_bar,food,entity
cake_case,object,entity
cake_cup_cake,food,entity
cake_mix,object,entity
cake_slice,object,entity
cake_slice_2,object,entity
cake_sponge,food,entity
cake_tin,object,entity
calculator,tool,entity
calendar,time,function
calendar_month,entity,entity
calf,entity,entity
"call_out_,_to",,other
camel,entity,entity
camera,object,entity
camera_SLR,noun,entity
camera_compact,object,entity
"camp_,_to",,other
can_opener,content,entity
can_opener_electric,object,entity
candle_2,object,entity
candy_cane,food,entity
candy_floss,food,entity
candy_hearts,object,entity
canoe,object,entity
cap,body,entity
car,object,entity
car_2,object,entity
car_boot,object,entity
car_bumper,entity,entity
car_mechanic_1a,action,action
car_mechanic_1b,action,action
car_mechanic_2a,,other
car_mechanic_2b,,other
car_toy,object,entity
car_transporter,entity,entity
caravan,entity,entity
carbohydrates,object,entity
card,object,entity
cardboard,object,entity
care_assistant_1a,person,entity
care_assistant_1b,person,entity
care_assistant_2a,entity,entity
care_assistant_2b,person,entity
care_assistant_3a,object,entity
care_assistant_3b,entity,entity
care_assistant_4a,person,entity
care_assistant_4b,entity,entity
care_assistant_5a,entity,entity
care_assistant_5b,person,entity
care_assistant_6a,entity,entity
care_assistant_6b,entity,entity
caretaker_1a,person,entity
caretaker_1b,person,entity
caretaker_2a,entity,entity
caretaker_2b,person,entity
carol_singer,person,entity
carpenter_1a,person,entity
carpenter_1b,person,entity
carpenter_2a,person,entity
carpenter_2b,person,entity
carrot,food,entity
"carry_,_to",,other
"carry_books_,_to",action,action
cart,object,entity
carton_1,object,entity
carton_2,entity,entity
"carve_meat_,_to",,other
"carve_wood_,_to",action,action
cash_point,object,entity
cashew,object,entity
casserole,object,entity
casserole_1,object,entity
casserole_2,object,entity
cassette_tape,object,entity
castle,object,entity
castor_sugar,object,entity
cat,entity,entity
cat_bed,,other
cat_biscuits,food,entity
cat_food,food,entity
"catch_,_to",,other
"catch_2_,_to",action,action
caterpillar,,other
catherine_wheel,entity,entity
cauliflower,entity,entity
cctv,entity,entity
ceiling,place,entity
ceiling_light,object,entity
"celebrate_1_,_to",action,action
"celebrate_2_,_to",action,action
"celebrate_3_,_to",action,action
celebrate_birthday,action,action
celebration,event,action
celeriac,food,entity
celery,food,entity
cement_mixer,entity,entity
centipede,entity,entity
cereal,food,entity
cereal_bowl,food,entity
cereal_box_bran,object,entity
cereal_box_museli,food,entity
cereal_bran,food,entity
cereal_museli,food,entity
certificate,object,entity
chair,,other
chair_computer,entity,entity
chair_dining,entity,entity
chair_wing_back,object,entity
chaise_lounge,object,entity
chalk,tool,entity
chameleon,entity,entity
champagne,food,entity
chandelier,object,entity
"change_,_to",,other
"change_clothes_,_to",,other
"change_mind_,_to",,other
"change_nappy_,_to",,other
"change_tv_channel_,_to",action,action
"change_weather_,_to",,other
channel_bbc_1,,other
chapatti,food,entity
charge,action,action
charger_electric,object,entity
"chase_,_to",,other
"cheat_,_to",,other
cheek,body,entity
cheese,object,entity
cheese_brie,food,entity
cheese_burger,food,entity
cheese_grated,food,entity
"cheese_on_toast_,_melted",food,entity
cheese_slices,food,entity
cheese_stilton,food,entity
cheetah,entity,entity
cheque_book,object,entity
cherry,food,entity
chest_female,entity,entity
chest_male,entity,entity
chest_of_drawers,object,entity
chestnuts,food,entity
"chew_,_to",,other
chewing_gum,food,entity
chewy_tube,object,entity
chick,entity,entity
chicken,,other
chicken_breast,food,entity
chicken_deep_fried,food,entity
chicken_house,object,entity
chicken_leg,body,entity
chicken_live,entity,entity
chicken_nuggets,food,entity
chicken_pieces,food,entity
chicken_run,action,action
childrens_tv,object,entity
chilli_pepper,quality,attribute
chimney,object,entity
chimpanzee,entity,entity
chin,body,entity
chinese_cabbage,food,entity
chinese_food,entity,entity
chip_and_pin_device,,other
chipmunk,entity,entity
chipmunk_2,entity,entity
chipmunk_3,entity,entity
chips,food,entity
chips_packet,food,entity
chisel,object,entity
chocolate,object,entity
chocolate_bar,food,entity
chocolate_box,food,entity
chocolate_chips,food,entity
chocolate_egg,food,entity
chocolate_log,object,entity
"choke_,_to",,other
"chop_,_to",,other
"chop_wood_,_to",,other
chopping_board,entity,entity
church,entity,entity
cigarette,object,entity
circle,quality,attribute
circle_time,action,action
circuit,,other
clamp,tool,entity
"clap_hands_,_to",,other
class_room,place,entity
claw,body part,entity
clay,entity,entity
clean_dishes,action,action
clean_hands,action,action
clean_room,place,entity
"clean_shoes_,_to",,other
"clean_window_,_to",,other
cleaner_1a,tool,entity
cleaner_1b,object,entity
cleaner_2a,object,entity
cleaner_2b,,other
cleaner_spray,object,entity
cleaning_box,entity,entity
"climb_down_,_to",action,action
"climb_tree_,_to",action,action
"climb_up_,_to",action,action
climbing_rock,object,entity
climbing_wall,,other
clingfilm,,other
"clip_nails_,_to",,other
clipboard,object,entity
clock,object,entity
clock_radio,device,entity
"close_,_to",,other
"close_door_,_to",,other
close_to,action,action
closed,object,entity
closed_shop,entity,entity
clothes_extra_large,entity,entity
clothes_female,food,entity
clothes_generic,entity,entity
clothes_hanger,object,entity
clothes_large,object,entity
clothes_male,entity,entity
clothes_medium,object,entity
clothes_neat,object,entity
clothes_peg,object,entity
clothes_small,object,entity
cloudy,quality,attribute
clover,entity,entity
coach,entity,entity
coat,entity,entity
coated_spoon,object,entity
cockatiel,entity,entity
cockerel,animal,entity
coconut,food,entity
coffee,food,entity
coffee_instant,drink,entity
coffee_maker,object,entity
coffee_table,,other
colander,object,entity
collar_1,body,entity
collar_pet,object,entity
"collect_,_to",,other
colour,quality,attribute
coloured_paper,object,entity
colouring_book,object,entity
comb,object,entity
"comb_animal_,_to",action,action
"come_,_to",action,action
comedy_tv,noun,entity
comet,entity,entity
"communicate_,_to",,other
communication_aid,object,entity
communication_aid_2,entity,entity
communication_aid_chat_2,object,entity
communication_aid_gotalk_9p,entity,entity
communication_aid_listen_to_me,action,action
communication_aid_scan4,action,action
communication_aid_techspeak_32,object,entity
communication_board,object,entity
communication_book,object,entity
communication_book_portable,object,entity
communication_device,entity,entity
computer_1,entity,entity
computer_2,object,entity
computer_art,art,entity
computer_cable,object,entity
computer_folder,object,entity
computer_folder_open,entity,entity
"computer_folder_open_,_to",,other
computer_game,object,entity
computer_game_2,object,entity
computer_keyboard,object,entity
computer_monitor,object,entity
computer_mouse_1,object,entity
computer_mouse_2,entity,entity
computer_programme,object,entity
computer_speaker,object,entity
concentrating_lady,emotion,function
concentrating_man,emotion,function
confused_lady,emotion,function
confused_man,emotion,function
conical_flask,entity,entity
connection,quality,attribute
"cook_,_to",,other
cook_chef_1a,action,action
cook_chef_1b,action,action
cook_chef_2a,entity,entity
cook_chef_2b,person,entity
cook_school_1a,entity,entity
cook_school_1b,entity,entity
cooker,object,entity
cooking_oil,object,entity
copy,action,action
"copy_,_to",,other
corned_beef,food,entity
corner_cabinet,entity,entity
corner_cabinet_2,object,entity
cornet,object,entity
cornflakes,food,entity
correct,quality,attribute
correct_thought,entity,entity
cot,entity,entity
cottage_cheese,food,entity
cotton_bud,object,entity
"count_,_to",,other
"count_2_,_to",,other
counters,action,action
country_Afghanistan,entity,entity
country_Alaska,entity,entity
country_Albania,entity,entity
country_Alderney,entity,entity
country_Algeria,entity,entity
country_American_Samoa,object,entity
country_Andorra,entity,entity
country_Angola,entity,entity
country_Anguilla,entity,entity
country_Antartica,place,entity
country_Antigua_Barbuda,entity,entity
country_Argentina,,other
country_Armenia,,other
country_Aruba,object,entity
country_Austria,,other
country_Azerbaijan,entity,entity
country_Bahrain,,other
country_Bangladesh,entity,entity
country_Barbados,entity,entity
country_Belarus,entity,entity
country_Belgium,,other
country_Belize,geography,entity
country_Benin,object,entity
country_Bermuda,entity,entity
country_Bhutan,entity,entity
country_Bonaire,entity,entity
country_Bosnia_Herzegovina,entity,entity
country_Botswana,place,entity
country_Bulgaria,place,entity
country_Burkina_Faso,,other
country_Burundi,entity,entity
country_Cambodia,,other
country_Cameroon,entity,entity
country_Canada,place,entity
country_Canary_Islands,object,entity
country_Cape_Verde,object,entity
country_Cayman_Islands,entity,entity
country_Chad,entity,entity
country_Chile,entity,entity
country_China,object,entity
country_Colombia,place,entity
country_Comoros,entity,entity
country_Congo_Brazzaville,entity,entity
country_Congo_Kinshasa,,other
country_Costa_Rica,entity,entity
country_Croatia,entity,entity
country_Cuba,entity,entity
country_Cyprus,,other
country_Denmark,entity,entity
country_Djbouti,entity,entity
country_Dominican_Republic,,other
country_Ecuador,entity,entity
country_England,entity,entity
country_Eritrea,entity,entity
country_Estonia,,other
country_Ethiopia,entity,entity
country_Falkland_Islands,object,entity
country_Finland,entity,entity
country_France,entity,entity
country_Gabon,entity,entity
country_Georgia,object,entity
country_Germany,entity,entity
country_Ghana,entity,entity
country_Gibraltar,entity,entity
country_Greece,entity,entity
country_Greenland,entity,entity
country_Grenada,place,entity
country_Guernsey,entity,entity
country_Guinea,,other
country_Guinea_Bissau,,other
country_Guyana,object,entity
country_Haiti,entity,entity
country_Hawaii,object,entity
country_Honduras,,other
country_Hong_Kong,entity,entity
country_Hungary,,other
country_Iceland,entity,entity
country_India,entity,entity
country_Indonesia,entity,entity
country_Iran,geography,entity
country_Iraq,entity,entity
country_Ireland,entity,entity
country_Isle_of_Man,entity,entity
country_Israel,,other
country_Italy,entity,entity
country_Ivory_Coast,entity,entity
country_Jamaica,entity,entity
country_Japan,entity,entity
country_Jersey,,other
country_Jordan,geography,entity
country_Kazakhstan,entity,entity
country_Kenya,geography,entity
country_Kosovo,,other
country_Kuwait,place,entity
country_Kyrgyzstan,entity,entity
country_Laos,entity,entity
country_Latvia,entity,entity
country_Lebanon,entity,entity
country_Lesotho,entity,entity
country_Liberia,,other
country_Libya,entity,entity
country_Liechtenstein,entity,entity
country_Lithuania,,other
country_Luxembourg,,other
country_Macedonia,entity,entity
country_Madagascar,entity,entity
country_Malaysia,entity,entity
country_Maldives,object,entity
country_Mali,entity,entity
country_Marshall_Islands,entity,entity
country_Mauritania,entity,entity
country_Mauritius,entity,entity
country_Moldova,,other
country_Monaco,,other
country_Mongolia,entity,entity
country_Morocco,entity,entity
country_Namibia,,other
country_Nauru,object,entity
country_Nepal,entity,entity
country_New_Caledonia,entity,entity
country_New_Zealand,,other
country_Niger,,other
country_Nigeria,,other
country_Niue,entity,entity
country_North_Korea,entity,entity
country_Northern_Cyprus,entity,entity
country_Norway,entity,entity
country_Oman,place,entity
country_Pakistan,geography,entity
country_Palau,entity,entity
country_Palestine,,other
country_Panama,entity,entity
country_Papua_New_Guinea,entity,entity
country_Paraguay,object,entity
country_Pitcairn_Islands,entity,entity
country_Qatar,place,entity
country_Romania,entity,entity
country_Russian_Federation,,other
country_Rwanda,object,entity
country_Samoa,entity,entity
country_Sao_Tome_Principe,entity,entity
country_Saudi_Arabia,,other
country_Scotland,,other
country_Senegal,entity,entity
country_Seychelles,entity,entity
country_Sierra_Leone,,other
country_Singapore,entity,entity
country_Slovenia,entity,entity
country_Solomon_Islands,place,entity
country_Somalia,entity,entity
country_Somaliland,place,entity
country_South_Africa,entity,entity
country_South_Korea,entity,entity
country_Sri_Lanka,entity,entity
country_St._Kitts_and_Nevis,,other
country_St_Vincent_Grenadines,,other
country_Suriname,entity,entity
country_Sweden,entity,entity
country_Switzerland,object,entity
country_Syria,,other
country_Taiwan,place,entity
country_Tanzania,entity,entity
country_Thailand,,other
country_The_Azores,object,entity
country_The_Bahamas,entity,entity
country_The_Czech_Republic,entity,entity
country_The_Faroe_Islands,place,entity
country_The_Gambia,entity,entity
country_The_Netherlands,,other
country_The_Sudan,,other
country_Togo,,other
country_Trinidad_and_Tobago,entity,entity
country_Tunisia,place,entity
country_Turkey,entity,entity
country_Ukraine,entity,entity
country_United_Arab_Emirates,location,function
country_United_Kingdom,object,entity
country_United_States,entity,entity
country_Uzbekistan,entity,entity
country_Vanuatu,entity,entity
country_Venezuela,entity,entity
country_Viet_Nam,entity,entity
country_Wakes_Island,entity,entity
country_Wales,entity,entity
country_Western_Sahara,entity,entity
country_Yemen,entity,entity
country_Zambia,,other
country_blank,object,entity
courgette,food,entity
"cover_food_,_to",action,action
cow,entity,entity
cow_shed,entity,entity
crab,entity,entity
cracker,object,entity
craft_table,,other
cranberries,entity,entity
cranberry_juice,drink,entity
crane,entity,entity
crane_fly,,other
"crawl_,_to",,other
crayon,object,entity
cream,food,entity
cream_2,object,entity
cream_ointment,object,entity
creme_fraiche,food,entity
cricket,action,action
cricket_2,entity,entity
cricket_ball,entity,entity
cricket_bowler,entity,entity
crisp_bread,food,entity
crisps,food,entity
crisps_cheese_puffs,food,entity
crocodile,entity,entity
crocodile_2,entity,entity
croissant,food,entity
crooked,quality,attribute
cross,symbol,entity
"cross_fingers_,_to",,other
cross_palm,entity,entity
"crouch_,_to",,other
crown,entity,entity
crown_of_thorns,object,entity
cruiser,object,entity
"crumple_paper_,_to",,other
crunchy,quality,attribute
"crush_,_to",,other
"crush_garlic_,_to",,other
crutches,object,entity
crutches_1,entity,entity
cucumber,food,entity
cup_non_spill,entity,entity
cupboard,object,entity
curly,quality,attribute
curly_hair,quality,attribute
currants,object,entity
curry,food,entity
curtains,object,entity
cushion_2,object,entity
cut,action,action
"cut_,_to",,other
cut_and_paste,action,action
"cut_with_scissors_,_to",,other
"cycle_,_to",,other
cycle_helmet,object,entity
cymbals_hand,entity,entity
d_-_lower_case,entity,entity
dad_parent,entity,entity
daffodil,object,entity
dairy_products,food,entity
daisy,food,entity
"dance_,_to",,other
"dance_2_,_to",action,action
"dance_3_,_to",action,action
danish_pastry,food,entity
darts,object,entity
date,time,function
dates,food,entity
daughter,person,entity
day,time,function
"daydream_,_to",,other
dead,quality,attribute
dead_plant,,other
"decorate_,_to",,other
"decorate_cake_,_to",,other
"decorate_tree_,_to",,other
deep,,other
deep_fat_fryer,object,entity
deer,animal,entity
delicious_drink,,other
delicious_food,food,entity
"deliver_,_to",,other
"deliver_2_,_to",action,action
delivery_person_1a,person,entity
delivery_person_1b,person,entity
delivery_person_2a,object,entity
delivery_person_2b,person,entity
delivery_trolley,object,entity
dental_floss,object,entity
dentist_1a,,other
dentist_1b,entity,entity
dentist_2a,person,entity
dentist_2b,person,entity
deodorant,object,entity
deodorant_spray,object,entity
desiring_lady,person,entity
desiring_man,person,entity
desk,object,entity
dessert,object,entity
dessert_menu,object,entity
"dial_,_to",,other
diamond,object,entity
"dice_,_to",,other
dictionary,reference,function
"die_,_to",,other
"dig_,_to",,other
"dig_2_,_to",action,action
dining_table,object,entity
dinner,time,function
dinner_2_people,food,entity
dinner_3_people,food,entity
dinner_cold,object,entity
dinner_hot,object,entity
dinner_lady_1a,action,action
dinner_lady_1b,person,entity
dinner_time,time,function
dinner_time_1,time,function
dinosaur,entity,entity
"dip_food_,_to",action,action
dirty,quality,attribute
dirty_dishes,,other
disabled_sign,entity,entity
disabled_toilet,entity,entity
disgusted_lady,emotion,function
disgusted_man,emotion,function
dish,object,entity
dish_cloth,object,entity
dish_partitioned,object,entity
dishes,entity,entity
dishwasher,,other
dishwasher_powder,object,entity
"dive_,_to",action,action
"dive_2_,_to",action,action
divide,action,action
doctor_1a,person,entity
doctor_1b,person,entity
doctor_2a,object,entity
doctor_2b,person,entity
dog,entity,entity
dog_basket,object,entity
dog_bed,object,entity
dog_biscuits,food,entity
dog_chew,object,entity
dog_coat,entity,entity
dog_food,food,entity
dog_kennel,entity,entity
doidy_cup,object,entity
doll,entity,entity
dolphin,entity,entity
donkey,entity,entity
door,place,entity
door_2,entity,entity
double_bed,object,entity
doughnut,,other
dove,emotion,function
down,place,entity
download,action,action
"download_,_to",,other
dragonfly,entity,entity
draining_board,object,entity
drama,content,entity
drama_class,entity,entity
"draw_,_to",,other
drawer,entity,entity
drawing_pin,object,entity
"dream_,_to",,other
dress,object,entity
dresser,object,entity
dressing_gown,entity,entity
dressing_table,object,entity
"dribble_football_,_to",action,action
drill_bit,object,entity
drill_electric,,other
drink,action,action
"drink_,_to",,other
"drink_2_,_to",food,entity
"drink_3_,_to",action,action
drink_cold,action,action
drink_cold_2,action,action
drink_consistency_firm_spoon,object,entity
drink_consistency_honey_cup,quality,attribute
drink_consistency_juice_straw,object,entity
drink_hot,action,action
drink_hot_2,,other
drink_large,action,action
drink_medium,action,action
drink_small,action,action
drinks,drink,entity
"drip_,_to",,other
"drive_,_to",,other
dropper_pipette,object,entity
"drown_,_to",,other
drum,entity,entity
drumsticks,food,entity
dry,quality,attribute
"dry_face_,_to",,other
"dry_hair_,_to",action,action
"dry_hair_2_,_to",,other
"dry_hands_,_to",,other
"dry_hands_2_,_to",action,action
duck,object,entity
dumper_truck,object,entity
"dust_,_to",,other
dysphagia_cup,object,entity
dysphagia_cup_2,object,entity
dysphagia_cup_3,object,entity
e_-_lower_case,quality,attribute
ear,body_part,entity
ear_muffs,object,entity
earrings,entity,entity
earthworm,entity,entity
earwig,entity,entity
east,place,entity
"eat_,_to",,other
"eat_1_,_to",,other
"eat_2_,_to",,other
egg,entity,entity
egg_boiled,entity,entity
egg_cup,object,entity
egg_fried,food,entity
egg_on_toast,food,entity
egg_white,food,entity
egg_yolk,part_of_an_organism,entity
eggs,entity,entity
eggs_scrambled,food,entity
eight,quantity,attribute
eight_dots,quantity,attribute
eighteen,quantity,attribute
eighth,quantity,attribute
eighty,quantity,attribute
either,,other
elbow,body,entity
elearning,content,entity
elephant,entity,entity
eleven,quantity,attribute
elf,entity,entity
emagazine,object,entity
email,entity,entity
email_attachment,action,action
"email_send_,_to",,other
emery_board,object,entity
empty,quality,attribute
energy_monitor,device,entity
engine,action,action
english,entity,entity
english_class,entity,entity
enough,quality,attribute
"enter_,_to",,other
"enter_door_,_to",action,action
envelope,object,entity
escalator,object,entity
"escape_,_to",,other
even,,other
every,adjective,attribute
excited_lady,emotion,function
excited_man,emotion,function
"exercise_,_to",,other
"exit_,_to",,other
"exit_door_,_to",,other
extension_lead,object,entity
extra,adjective,attribute
extra_2,object,entity
extra_large,quality,attribute
eye,object,entity
eye_drops,medicine,entity
eye_shadow,entity,entity
eyebrow,body part,entity
eyebrow_bushy,body part,entity
eyebrow_pencil,entity,entity
eyelash,body,entity
eyelash_curler,object,entity
eyes,,other
eyes_blue,,other
eyes_brown,,other
eyes_closed,emotion,function
eyes_green,body part,entity
f_-_lower_case,,other
fabric,entity,entity
face_neutral_3,emotion,function
fairy,entity,entity
"fall_off_,_to",,other
"fall_over_,_to",action,action
family,entity,entity
family_2,entity,entity
fancy,quality,attribute
fangs,body part,entity
farmer_1a,person,entity
farmer_1b,person,entity
farmer_2a,person,entity
farmer_2b,,other
fast_2,,other
"fasten_,_to",,other
fat,quality,attribute
fats,quality,attribute
fats_high,quality,attribute
fats_low,,other
favourite,entity,entity
fax_machine,action,action
feather,object,entity
